"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\header2.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\loader.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main.tsx", "TypeScript JSX", 0, 0, 0, 129, 0, 0, 7, 136
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-main-post.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, -1, 3
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-message.tsx", "TypeScript JSX", 0, 0, 0, 80, 0, 0, 14, 94
"c:\Users\admin\Desktop\Next-js\agenda\middleware.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\admin\Desktop\Next-js\agenda\package.json", "JSON", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\admin\Desktop\Next-js\agenda\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 17, 0, 4, 21
"c:\Users\admin\Desktop\Next-js\agenda\tsconfig.json", "JSON with Comments", 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 2, 460, 1044, 17, 95, 234, 1853
