"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\account\page.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\colors\page.tsx", "TypeScript JSX", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\subjects\page.tsx", "TypeScript JSX", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\page.tsx", "TypeScript JSX", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\globals.css", "PostCSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\layout.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 1, 14
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\auth.ts", "TypeScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 2, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\helpers.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\local-storage.ts", "TypeScript", 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -4, -25
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\placeholder-data.ts", "TypeScript", 0, 0, -79, 0, 0, 0, 0, 0, 0, 0, -5, -84
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\swr-provider.tsx", "TypeScript JSX", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -26
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-subjects.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\page.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\admin\Desktop\Next-js\agenda\app\register\page.tsx", "TypeScript JSX", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"c:\Users\admin\Desktop\Next-js\agenda\app\seed\route.ts", "TypeScript", 0, 0, -180, 0, 0, 0, 0, 0, 0, -19, -21, -220
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-main-post-form.tsx", "TypeScript JSX", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-message-form.tsx", "TypeScript JSX", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client-skeleton.tsx", "TypeScript JSX", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client.tsx", "TypeScript JSX", -63, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client2.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-events.tsx", "TypeScript JSX", -6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-header.tsx", "TypeScript JSX", -34, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0
