"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\page.tsx", "TypeScript JSX", 69, 0, 0, 0, 0, 9, 78
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\messages\view-message\[id]\page.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\account\page.tsx", "TypeScript JSX", 118, 0, 0, 0, 0, 15, 133
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\colors\page.tsx", "TypeScript JSX", 202, 0, 0, 0, 0, 26, 228
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\layout.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 7, 39
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\page.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\settings\subjects\page.tsx", "TypeScript JSX", 240, 0, 0, 0, 0, 25, 265
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\page.tsx", "TypeScript JSX", 246, 0, 0, 0, 0, 23, 269
"c:\Users\admin\Desktop\Next-js\agenda\app\globals.css", "PostCSS", 0, 39, 0, 0, 0, 9, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\icons\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\page.tsx", "TypeScript JSX", 149, 0, 0, 0, 0, 24, 173
"c:\Users\admin\Desktop\Next-js\agenda\app\layout.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 4, 79
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\actions.ts", "TypeScript", 0, 0, 573, 0, 6, 73, 652
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\auth.ts", "TypeScript", 0, 0, 108, 0, 0, 27, 135
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\date-context.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 6, 36
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\definitions.ts", "TypeScript", 0, 0, 104, 0, 0, 19, 123
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\dotlottie.d.ts", "TypeScript", 0, 0, 25, 0, 0, 2, 27
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\helpers.ts", "TypeScript", 0, 0, 42, 0, 0, 3, 45
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\subjects.ts", "TypeScript", 0, 0, 492, 0, 9, 61, 562
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-events.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-files.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-main-data.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-main-posts.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-messages.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-primitive-subjects.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-ranking.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-subjects.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-unseen-messages.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-user.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-users.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\utils.ts", "TypeScript", 0, 0, 379, 0, 14, 65, 458
"c:\Users\admin\Desktop\Next-js\agenda\app\login\page.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 7, 49
"c:\Users\admin\Desktop\Next-js\agenda\app\page.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 2, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\register\page.tsx", "TypeScript JSX", 199, 0, 0, 0, 0, 11, 210
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\account-button.tsx", "TypeScript JSX", 92, 0, 0, 0, 0, 6, 98
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-button.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-button2.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 195, 17, 212
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form2.tsx", "TypeScript JSX", 239, 0, 0, 0, 0, 28, 267
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-main-post-form.tsx", "TypeScript JSX", 128, 0, 0, 0, 0, 16, 144
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-message-form.tsx", "TypeScript JSX", 103, 0, 0, 0, 0, 15, 118
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client-skeleton.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 3, 30
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 10, 72
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client2.tsx", "TypeScript JSX", 78, 0, 0, 0, 2, 7, 87
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 2, 8
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 6, 40
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-header2.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 6, 46
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-skeleton.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 0, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 5, 35
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar2.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 71
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar3.tsx", "TypeScript JSX", 50, 0, 0, 0, 10, 9, 69
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\dashboard-skeleton.tsx", "TypeScript JSX", 13, 0, 0, 0, 22, 2, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\dashboard.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 6, 64
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-client.tsx", "TypeScript JSX", 222, 0, 0, 0, 157, 30, 409
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 4, 26
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-main-post.tsx", "TypeScript JSX", 139, 0, 0, 0, 0, 16, 155
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-message.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 16, 125
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\file-tree.tsx", "TypeScript JSX", 33, 0, 0, 0, 1, 6, 40
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\folder-toggle.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 5, 27
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 3, 38
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\header2.tsx", "TypeScript JSX", 129, 0, 0, 0, 129, 51, 309
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\loader.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 2, 15
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main-files.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 5, 30
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main.tsx", "TypeScript JSX", 125, 0, 0, 0, 0, 8, 133
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\modal.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 4, 23
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-box-info.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 3, 17
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-tag.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 2, 17
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-tag2.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 2, 17
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\timer.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 1, 32
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 111, 16, 127
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event-client2.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 18, 127
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event-skeleton.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 1, 42
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 2, 8
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-main-post.tsx", "TypeScript JSX", 85, 0, 0, 0, 0, 13, 98
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-message.tsx", "TypeScript JSX", 81, 0, 0, 0, 0, 14, 95
"Total", "-", 4172, 39, 2300, 1, 1359, 1118, 8989
