"filename", "language", "JSON", "TypeScript", "YAML", "JavaScript", "JSON with Comments", "MS SQL", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\posts-dashboard-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -64, -2, -12, -78
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\posts-list-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -173, -8, -20, -201
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -35, -3, -2, -40
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\subject-select-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, -4, -31
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\view-main-post\view-main-post-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -137, -7, -26, -170
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\view-main-post\view-main-post-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -21, -1, -5, -27
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\view-main-post\view-main-post-static.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -75, 0, -18, -93
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main\view-post-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, -2, -28
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\mini-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -138, 0, -19, -157
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\modal-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -37, -6, -9, -52
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\modal-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, -5, -28
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, -4, -23
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\reset-password\reset-password-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -119, 0, -16, -135
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\reset-password\reset-password-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -5, -2, -4, -11
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\sidebar\error-profile-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -94, -7, -9, -110
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\sidebar\profile-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -109, -9, -12, -130
