Date : 2025-10-04 12:12:12
Directory : c:\Users\admin\Desktop\Next-js\agenda
Total : 217 files,  51930 codes, 5292 comments, 4942 blanks, all 62164 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         23 |     25,256 |          0 |          2 |     25,258 |
| YAML               |          2 |     10,528 |          0 |      2,796 |     13,324 |
| TypeScript         |         76 |      9,495 |      4,332 |      1,189 |     15,016 |
| TypeScript JSX     |         85 |      5,963 |        511 |        864 |      7,338 |
| MS SQL             |         18 |        330 |        106 |          6 |        442 |
| PostCSS            |          1 |        216 |        291 |         54 |        561 |
| JSON with Comments |          5 |         80 |         49 |         11 |        140 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |         17 |          2 |          5 |         24 |
| XML                |          3 |         17 |          0 |          0 |         17 |
| JavaScript JSX     |          1 |          5 |          1 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        217 |     51,930 |      5,292 |      4,942 |     62,164 |
| . (Files)                                                                                                         |         13 |      9,418 |        164 |      2,487 |     12,069 |
| app                                                                                                               |        107 |      7,341 |      1,023 |      1,191 |      9,555 |
| app (Files)                                                                                                       |          5 |        533 |        299 |         85 |        917 |
| app\components                                                                                                    |          2 |         73 |          0 |          9 |         82 |
| app\error                                                                                                         |          1 |         11 |          0 |          4 |         15 |
| app\gemif                                                                                                         |         53 |      3,807 |        530 |        598 |      4,935 |
| app\gemif (Files)                                                                                                 |          1 |         25 |          0 |          4 |         29 |
| app\gemif\components                                                                                              |          7 |        593 |        144 |         95 |        832 |
| app\gemif\components\breadcrumb                                                                                   |          1 |         59 |          2 |         12 |         73 |
| app\gemif\components\sidebar                                                                                      |          6 |        534 |        142 |         83 |        759 |
| app\gemif\main                                                                                                    |         22 |      1,283 |        217 |        256 |      1,756 |
| app\gemif\main (Files)                                                                                            |          2 |         90 |          4 |         14 |        108 |
| app\gemif\main\add-main-post                                                                                      |          8 |        509 |        177 |        118 |        804 |
| app\gemif\main\add-main-post (Files)                                                                              |          2 |         87 |          5 |         12 |        104 |
| app\gemif\main\add-main-post\actions                                                                              |          2 |        113 |        151 |         56 |        320 |
| app\gemif\main\add-main-post\components                                                                           |          4 |        309 |         21 |         50 |        380 |
