Date : 2025-09-04 19:06:57
Directory : c:\Users\admin\Desktop\Next-js\agenda
Total : 328 files,  54318 codes, 5995 comments, 6210 blanks, all 66523 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         20 |     20,667 |          0 |          2 |     20,669 |
| TypeScript         |        105 |     12,078 |      4,672 |      1,754 |     18,504 |
| TypeScript JSX     |        173 |     10,810 |        876 |      1,683 |     13,369 |
| YAML               |          2 |     10,107 |          0 |      2,684 |     12,791 |
| MS SQL             |         15 |        299 |        104 |          6 |        409 |
| PostCSS            |          1 |        216 |        291 |         50 |        557 |
| JSON with Comments |          5 |         77 |         49 |         11 |        137 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          3 |         23 |          0 |          0 |         23 |
| JavaScript         |          2 |         13 |          2 |          5 |         20 |
| JavaScript JSX     |          1 |          5 |          1 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        328 |     54,318 |      5,995 |      6,210 |     66,523 |
| . (Files)                                                                                                       |         14 |      8,985 |        388 |      2,403 |     11,776 |
| app                                                                                                             |        249 |     17,312 |      1,960 |      3,150 |     22,422 |
| app (Files)                                                                                                     |          5 |        383 |        292 |         71 |        746 |
| app\api                                                                                                         |         34 |      3,192 |         24 |        550 |      3,766 |
| app\api\auth                                                                                                    |          3 |         91 |          1 |         21 |        113 |
| app\api\auth (Files)                                                                                            |          1 |         80 |          0 |         15 |         95 |
| app\api\auth\[...nextauth]                                                                                      |          1 |          2 |          0 |          2 |          4 |
| app\api\auth\update                                                                                             |          1 |          9 |          1 |          4 |         14 |
| app\api\events                                                                                                  |          2 |        276 |          0 |         45 |        321 |
| app\api\events (Files)                                                                                          |          1 |        114 |          0 |         23 |        137 |
| app\api\events\[id]                                                                                             |          1 |        162 |          0 |         22 |        184 |
| app\api\files                                                                                                   |          1 |         44 |          9 |         13 |         66 |
| app\api\history                                                                                                 |          2 |        440 |          1 |         72 |        513 |
| app\api\history (Files)                                                                                         |          1 |        252 |          0 |         40 |        292 |
| app\api\history\[section]                                                                                       |          1 |        188 |          1 |         32 |        221 |
| app\api\main-data                                                                                               |          1 |        224 |          1 |         45 |        270 |
| app\api\main-posts                                                                                              |          2 |        300 |          4 |         45 |        349 |
| app\api\main-posts (Files)                                                                                      |          1 |         86 |          2 |          9 |         97 |
| app\api\main-posts\[id]                                                                                         |          1 |        214 |          2 |         36 |        252 |
| app\api\messages                                                                                                |          3 |        359 |          5 |         59 |        423 |
| app\api\messages (Files)                                                                                        |          1 |        127 |          0 |         20 |        147 |
| app\api\messages\[id]                                                                                           |          1 |        157 |          0 |         24 |        181 |
| app\api\messages\unseen                                                                                         |          1 |         75 |          5 |         15 |         95 |
| app\api\primitive-subjects                                                                                      |          2 |         96 |          0 |         18 |        114 |
| app\api\primitive-subjects (Files)                                                                              |          1 |         29 |          0 |          6 |         35 |
| app\api\primitive-subjects\[id]                                                                                 |          1 |         67 |          0 |         12 |         79 |
| app\api\ranking                                                                                                 |          2 |        142 |          0 |         24 |        166 |
| app\api\ranking (Files)                                                                                         |          1 |         35 |          0 |          7 |         42 |
| app\api\ranking\[id]                                                                                            |          1 |        107 |          0 |         17 |        124 |
| app\api\reset-password                                                                                          |          1 |         28 |          0 |          8 |         36 |
| app\api\send-reset-password                                                                                     |          1 |         61 |          1 |          7 |         69 |
| app\api\send-verification-email                                                                                 |          1 |         57 |          1 |          8 |         66 |
| app\api\subjects                                                                                                |          3 |        202 |          0 |         42 |        244 |
| app\api\subjects (Files)                                                                                        |          1 |         60 |          0 |         10 |         70 |
| app\api\subjects\[userid]                                                                                       |          2 |        142 |          0 |         32 |        174 |
| app\api\subjects\[userid] (Files)                                                                               |          1 |         27 |          0 |         10 |         37 |
| app\api\subjects\[userid]\[id]                                                                                  |          1 |        115 |          0 |         22 |        137 |
| app\api\user                                                                                                    |          1 |        107 |          0 |         18 |        125 |
| app\api\users                                                                                                   |          2 |        204 |          0 |         39 |        243 |
| app\api\users (Files)                                                                                           |          1 |         97 |          0 |         21 |        118 |
| app\api\users\[userid]                                                                                          |          1 |        107 |          0 |         18 |        125 |
| app\api\verification-token                                                                                      |          2 |         82 |          0 |         13 |         95 |
| app\api\verification-token (Files)                                                                              |          1 |         27 |          0 |          5 |         32 |
| app\api\verification-token\[id]                                                                                 |          1 |         55 |          0 |          8 |         63 |
| app\api\verify                                                                                                  |          1 |         22 |          1 |          8 |         31 |
| app\api\weekly-challenge-answers                                                                                |          2 |        201 |          0 |         36 |        237 |
| app\api\weekly-challenge-answers (Files)                                                                        |          1 |         81 |          0 |         16 |         97 |
| app\api\weekly-challenge-answers\[id]                                                                           |          1 |        120 |          0 |         20 |        140 |
| app\api\weekly-challenges                                                                                       |          2 |        256 |          0 |         29 |        285 |
| app\api\weekly-challenges (Files)                                                                               |          1 |        104 |          0 |         12 |        116 |
| app\api\weekly-challenges\[id]                                                                                  |          1 |        152 |          0 |         17 |        169 |
| app\gemif                                                                                                       |         40 |      1,870 |         33 |        285 |      2,188 |
| app\gemif (Files)                                                                                               |          1 |         21 |          0 |          4 |         25 |
| app\gemif\calendar                                                                                              |          5 |         43 |          0 |         13 |         56 |
| app\gemif\calendar (Files)                                                                                      |          2 |         17 |          0 |          5 |         22 |
| app\gemif\calendar\add-event                                                                                    |          1 |          6 |          0 |          2 |          8 |
| app\gemif\calendar\edit-event                                                                                   |          1 |         10 |          0 |          3 |         13 |
| app\gemif\calendar\edit-event\[id]                                                                              |          1 |         10 |          0 |          3 |         13 |
| app\gemif\calendar\view-event                                                                                   |          1 |         10 |          0 |          3 |         13 |
| app\gemif\calendar\view-event\[id]                                                                              |          1 |         10 |          0 |          3 |         13 |
| app\gemif\history                                                                                               |          7 |        201 |          0 |         38 |        239 |
| app\gemif\history (Files)                                                                                       |          2 |        105 |          0 |         12 |        117 |
| app\gemif\history\@modal                                                                                        |          3 |         50 |          0 |         14 |         64 |
| app\gemif\history\@modal (Files)                                                                                |          1 |          4 |          0 |          2 |          6 |
| app\gemif\history\@modal\(.)add-file                                                                            |          1 |         23 |          0 |          6 |         29 |
