Date : 2025-09-04 19:06:57
Directory : c:\Users\admin\Desktop\Next-js\agenda
Total : 280 files,  35986 codes, 5458 comments, 2880 blanks, all 44324 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         19 |     20,596 |          0 |          1 |     20,597 |
| YAML               |          2 |      6,249 |          0 |      1,578 |      7,827 |
| TypeScript         |         91 |      5,910 |      4,627 |        746 |     11,283 |
| TypeScript JSX     |        148 |      2,707 |        389 |        501 |      3,597 |
| MS SQL             |         15 |        299 |        104 |          6 |        409 |
| PostCSS            |          1 |        174 |        289 |         38 |        501 |
| JSON with Comments |          3 |         46 |         49 |          9 |        104 |
| JavaScript         |          1 |          5 |          0 |          1 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        280 |     35,986 |      5,458 |      2,880 |     44,324 |
| . (Files)                                                                                                       |          9 |      4,828 |        376 |      1,249 |      6,453 |
| app                                                                                                             |        209 |      3,160 |      1,435 |        974 |      5,569 |
| app (Files)                                                                                                     |          5 |        242 |        263 |         51 |        556 |
| app\api                                                                                                         |         22 |        277 |          9 |         65 |        351 |
| app\api\auth                                                                                                    |          3 |         14 |          1 |          8 |         23 |
| app\api\auth (Files)                                                                                            |          1 |          3 |          0 |          2 |          5 |
| app\api\auth\[...nextauth]                                                                                      |          1 |          2 |          0 |          2 |          4 |
| app\api\auth\update                                                                                             |          1 |          9 |          1 |          4 |         14 |
| app\api\events                                                                                                  |          2 |          1 |          0 |          1 |          2 |
| app\api\events (Files)                                                                                          |          1 |          2 |          0 |          1 |          3 |
| app\api\events\[id]                                                                                             |          1 |         -1 |          0 |          0 |         -1 |
| app\api\files                                                                                                   |          1 |         44 |          9 |         13 |         66 |
| app\api\history                                                                                                 |          1 |          0 |          0 |          2 |          2 |
| app\api\main-data                                                                                               |          1 |          1 |          0 |          0 |          1 |
| app\api\main-posts                                                                                              |          2 |         30 |          0 |          7 |         37 |
| app\api\main-posts (Files)                                                                                      |          1 |        -11 |          0 |         -2 |        -13 |
| app\api\main-posts\[id]                                                                                         |          1 |         41 |          0 |          9 |         50 |
| app\api\primitive-subjects                                                                                      |          1 |        -16 |          0 |         -1 |        -17 |
| app\api\primitive-subjects\[id]                                                                                 |          1 |        -16 |          0 |         -1 |        -17 |
| app\api\reset-password                                                                                          |          1 |          7 |         -1 |          0 |          6 |
| app\api\send-reset-password                                                                                     |          1 |         35 |          0 |          0 |         35 |
| app\api\send-verification-email                                                                                 |          1 |         31 |          0 |          1 |         32 |
| app\api\subjects                                                                                                |          4 |         -2 |          0 |         11 |          9 |
| app\api\subjects (Files)                                                                                        |          1 |        -29 |          0 |         -4 |        -33 |
| app\api\subjects\[id]                                                                                           |          1 |       -115 |          0 |        -17 |       -132 |
| app\api\subjects\[userid]                                                                                       |          2 |        142 |          0 |         32 |        174 |
| app\api\subjects\[userid] (Files)                                                                               |          1 |         27 |          0 |         10 |         37 |
| app\api\subjects\[userid]\[id]                                                                                  |          1 |        115 |          0 |         22 |        137 |
| app\api\user                                                                                                    |          1 |          0 |          0 |          2 |          2 |
