"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "JSON", "TypeScript JSX", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\utils.ts", "TypeScript", 0, 251, 0, 0, 0, 0, 0, 0, 0, 6, 43, 300
"c:\Users\admin\Desktop\Next-js\agenda\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 49
"c:\Users\admin\Desktop\Next-js\agenda\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\admin\Desktop\Next-js\agenda\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"c:\Users\admin\Desktop\Next-js\agenda\app\seed\route.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 5, 12, 103
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\account-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 6, 98
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 17, 200
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 10, 74
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 178, 0, 0, 0, 42, 19, 239
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
